,non-zero,num-clusters,max,mean,std
714,332,1,17.402660369873047,6.122950775077544,4.434746114610579
715,24,1,6.120082855224609,3.199643055597941,1.5053304997978898
716,36,1,4.312671661376953,2.8804881307813854,1.1258004580462124
717,32,1,4.257259368896484,2.5287494212388992,0.949798376875422
718,296,2,52.01177215576172,6.599290242066255,9.139556681171568
719,144,1,15.523731231689453,4.785269770357344,3.2401975118266853
720,56,1,9.228666305541992,4.9983366046633035,2.3271776348397655
721,48,1,10.856955528259277,3.6117935478687286,2.563923866005278
722,64,1,12.295087814331055,5.39033067971468,3.3907661190444256
723,372,2,90.71022033691406,8.61345596467295,12.558810758462556
724,68,1,8.994473457336426,3.6932928141425636,2.071684870687673
725,12,1,10.144889831542969,7.255211512247722,2.1177156309472145
726,124,1,7.6953654289245605,3.5292463456430743,1.4680009361810453
727,28,1,9.634060859680176,5.5659366846084595,3.1465615554209183
728,132,2,16.981674194335938,4.233638131257259,3.272812866071105
729,108,2,8.806320190429688,4.178063754682188,2.069839814843498
730,164,2,10.360176086425781,4.542382595015735,2.4989689202616874
731,28,1,11.644140243530273,4.817638465336391,3.2887577033999036
732,92,1,6.648046493530273,3.3006646477657817,1.3556702254740296
733,88,1,7.44372034072876,3.369721206751737,1.366940420725458
734,100,1,8.390485763549805,3.1127108669281007,1.6575372056409043
735,76,1,7.558573246002197,3.0645767764041296,1.7860662854788865
736,56,1,5.8196492195129395,2.9114558015550887,1.0517175415577
737,24,1,6.771406650543213,3.3264236450195312,1.7265798556966188
738,112,1,8.710036277770996,3.672181785106659,1.642416663537823
739,20,1,5.2237982749938965,3.0211227416992186,1.4047777039985065
740,88,1,9.41003131866455,3.3719533410939304,1.7310878714740954
741,28,1,3.497527837753296,2.6389991555895125,0.631347963719623
742,84,1,11.227875709533691,5.67395616145361,2.9404312211587977
743,52,2,5.149930477142334,3.346561752832853,1.2822641138431174
744,16,1,6.114881992340088,3.454341381788254,1.7099977370187538
745,332,1,36.19300079345703,7.2794103952775515,7.830877672579963
746,52,1,5.1463422775268555,2.759512727077191,1.1465624278749031
747,44,2,9.325896263122559,4.611014095219699,2.680537177824822
748,120,2,15.43970775604248,5.688268887996673,3.3406655801666996
749,200,2,18.64129066467285,7.175406589508056,4.719001222454975
750,40,1,7.946518898010254,3.2955692768096925,1.7667770347098044
751,80,1,6.418936729431152,3.5854097843170165,1.5540068037843184
752,468,5,16.444917678833008,5.57052983993139,3.529234047545608
753,24,1,6.728672504425049,3.9104840954144797,2.027589678533143
754,24,1,12.614882469177246,4.898631850878398,3.6134809323650483
755,28,1,8.231507301330566,4.074636254991804,2.357582652595739
756,28,1,8.001351356506348,4.910457219396319,2.405558056784494
757,208,3,6.54267692565918,3.0190333059200873,1.42462473013547
758,28,1,10.379853248596191,4.256225075040545,3.475776823901108
759,108,1,7.7209343910217285,3.7900439589111894,1.4184378039467849
760,168,4,4.670492649078369,2.712679488318307,0.824382448794868
761,44,1,6.976072788238525,4.354347120631825,2.066043970660788
762,60,1,9.626023292541504,4.196792435646057,2.681386425320714
763,36,2,5.103346347808838,3.0329050885306463,1.2944389924775301
764,64,2,10.27628231048584,4.747030593454838,2.780740541281956
765,16,1,5.03231143951416,3.8738232851028442,0.9594431719786548
766,92,1,13.07068920135498,4.165633569593015,2.831188505429541
767,72,1,10.502052307128906,4.014867107073466,1.8067001153806388
768,40,2,5.878532886505127,2.867626440525055,1.2579570831950662
769,68,3,5.55659294128418,2.6329323544221768,1.0951662744364792
770,144,3,11.536752700805664,4.9220696621470985,3.1911136037241703
771,12,1,11.952048301696777,6.427005767822266,3.9493328519287973
772,52,1,7.201038360595703,3.969677310723525,1.6583796302466323
773,152,1,23.84627342224121,6.8814386537200525,6.010197496971264
774,208,3,13.417325019836426,3.7210549895579996,2.154528949045607
775,92,5,8.485427856445312,3.519360599310502,1.7831467542894077
776,120,1,6.3482985496521,3.192923641204834,1.3907150311531702
777,28,1,6.373107433319092,3.0372722830091203,1.4322683897424846
778,28,1,17.609403610229492,7.111876572881426,5.576874923099772
779,428,2,107.60625457763672,11.327308743913598,16.636597427766546
780,288,1,12.09039306640625,4.358852457669046,2.4657102724370956
781,28,1,14.14339828491211,6.112449084009443,5.0589597351655025
782,124,4,8.775810241699219,3.4812782118397374,2.1891538132969415
783,124,1,5.690804481506348,3.072876053471719,1.0966059750612367
784,32,1,10.441884994506836,5.578875571489334,3.314225512460592
785,280,5,17.589576721191406,4.778884536879403,3.19678337075838
786,52,2,5.342010021209717,2.7349455815095167,1.3932617116357315
787,24,1,4.299663543701172,2.8366019129753113,0.8984244489791103
788,160,1,39.53440475463867,7.391017407178879,8.380716070812804
789,40,2,11.22376823425293,4.689926135540008,3.229993214753906
790,88,2,5.447851181030273,2.7812312841415405,0.8817786804654689
791,28,1,10.234965324401855,3.982734407697405,2.802360654475082
792,212,1,21.46827507019043,7.179113316086103,5.77801486357389
793,104,1,7.3887763023376465,3.401164715106671,1.717749346661056
794,28,1,5.305175304412842,3.0715408665793285,1.3657446545303833
795,104,2,9.500906944274902,3.287162280999697,1.6861051406639362
